month,race_id,trio_key,group_score_percentile,role_ok,top3_spread,unordered_role_set,group_market_p,effective_group_odds,entropy_norm,hhi,rank1_conditional_share,rank6_conditional_share,rank1_to_rank6_share_ratio,group_hit,winner_odds_rank,rank1_exact_hit,rank1_posted_odds,rank1_order,rank1_exact_market_p,race_uid,half_year,odds_band
2024_01,3520240101030003,1-3-5,0.2285714285714285,1,1,BANTE+BANTE+RYO,0.0093116601447728,107.39223558984338,0.998548627290512,0.1675147256574218,0.16949057443069293,0.144167188713172,1.2535369413878283,0,,0,474.8,1-3-5,0.0015782386268409312,2024_01|3520240101030003,2024_H1,GE200
2024_01,3520240101020004,1-5-7,0.3142857142857143,1,1,BANTE+BANTE+RYO,0.0085165748853881,117.41809512127878,0.983886599560954,0.1766052097868181,0.198693451307574,0.1248090072679132,1.90485226348604,0,,0,441.4,5-7-1,0.001692187657297168,2024_01|3520240101020004,2024_H1,GE200
2024_01,3520240101040004,1-5-7,0.2285714285714285,1,1,BANTE+BANTE+BANTE,0.0062823411794777,159.1763279693665,0.906173976936028,0.2251982529883236,0.3364497051549884,0.0695581853837075,4.836953455571227,0,,0,354.5,1-7-5,0.0021136918375183143,2024_01|3520240101040004,2024_H1,GE200
2024_01,2720240101030011,1-2-4,0.2571428571428571,1,1,BANTE+RYO+RYO,0.0205960913113637,48.55290185319073,0.920410005411894,0.2145568373602874,0.23625849570460125,0.0683007477726834,4.644289450741063,0,,0,154.0,2-1-4,0.0048660015506173954,2024_01|2720240101030011,2024_H1,100_TO_200
2024_01,8620240103010002,1-6-7,0.3142857142857143,1,1,BANTE+RYO+RYO,0.0144071336768844,69.41005910179426,0.8785494729627613,0.2433537819405098,0.19262592614887034,0.0627950733000125,6.025510204081634,0,,0,269.5,7-1-6,0.002775187467660437,2024_01|8620240103010002,2024_H1,GE200
2024_02,1320240202010005,2-3-5,0.3428571428571428,1,1,BANTE+RYO+RYO,0.0180754918341343,55.32352918395117,0.986943430572343,0.1746323525460651,0.18967701220107536,0.1251914096230527,1.835920177383592,0,,0,218.6,5-2-3,0.0034285052851635296,2024_02|1320240202010005,2024_H1,GE200
2024_03,1320240301030001,2-3-5,0.4,1,1,BANTE+RYO+RYO,0.0697101039592417,14.345122775669404,0.8620294250193717,0.2553947101907123,0.12047506493128511,0.0553886908430211,6.848056537102474,0,,0,89.1,3-2-5,0.008398329300856279,2024_03|1320240301030001,2024_H1,50_TO_100
2024_03,2520240301020001,2-4-5,0.2285714285714285,1,1,BANTE+BANTE+RYO,0.0653053611605217,15.312678503407732,0.8942281004890397,0.2289601969292519,0.28737844707058535,0.0478564275380481,6.600550964187329,0,,0,39.9,5-2-4,0.018767353275694447,2024_03|2520240301020001,2024_H1,30_TO_50
2024_03,2520240301030011,1-2-6,0.4,1,1,BANTE+BANTE+RYO,0.0895442847551771,11.167658580713416,0.7677588080652048,0.3219171515318941,0.24908433481976425,0.0301268309933191,16.151162790697676,0,,0,33.6,1-2-6,0.022304078605154844,2024_03|2520240301030011,2024_H1,30_TO_50
2024_03,2520240301030011,2-3-5,0.3428571428571428,1,1,BANTE+RYO+RYO,0.0102774140424977,97.30074081524144,0.9667333971010676,0.1868064274474101,0.2765219312924821,0.0810930085429569,3.4099355328024274,0,,0,263.7,3-2-5,0.0028419303797239397,2024_03|2520240301030011,2024_H1,GE200
