month,race_id,trio_key,group_score_percentile,role_ok,top3_spread,unordered_role_set,group_market_p,effective_group_odds,entropy_norm,hhi,rank1_conditional_share,rank6_conditional_share,rank1_to_rank6_share_ratio,group_hit,winner_odds_rank,rank1_exact_hit
2024_01,3520240101010001,1-2-4,0.17142857142857143,0,0,OTHER+OTHER+RYO,0.029741444014254683,33.62311525696981,0.7602858337565989,0.32135484247422047,0.447140431987663,0.03906375068846978,11.446428571428571,0,,0
2024_01,3520240101010001,1-2-7,0.11428571428571428,0,0,OTHER+OTHER+OTHER,0.025487749281124124,39.2345353436361,0.8045709963399372,0.2938609258004275,0.42717559362742774,0.048592733417788234,8.790935672514617,0,,0
2024_01,3520240101010001,1-4-5,0.45714285714285713,0,0,BANTE+OTHER+RYO,0.008848021422710834,113.01961785865822,0.7396447547753541,0.34386513020431375,0.5061224539330924,0.03443164822625211,14.699338544798554,0,,0
2024_01,3520240101010001,1-5-7,0.4,0,0,BANTE+OTHER+OTHER,0.007246200033616245,138.00336664194268,0.7356631704145865,0.3424665475183532,0.49410627129463724,0.03315614557192133,14.902403846153847,0,,0
2024_01,3520240101010001,2-3-4,0.2857142857142857,0,0,BANTE+OTHER+RYO,0.006110723624671488,163.64673996424767,0.9814227537424209,0.17778920751693325,0.23306804645261084,0.11633379294584786,2.003442340791738,0,,0
2024_01,3520240101010001,2-3-7,0.22857142857142856,0,0,BANTE+OTHER+OTHER,0.006727867670209145,148.63550370171203,0.9817789671630326,0.17772037246669878,0.2349152967248821,0.1203960058916298,1.951188455008489,0,,0
2024_01,3520240101010001,2-4-6,0.8571428571428571,0,0,OTHER+OTHER+RYO,0.0012211207515580777,818.9198314122983,0.9240893259767301,0.21405481978102267,0.29817991715067965,0.07910595817475648,3.769373686011832,0,,0
2024_01,3520240101010001,2-6-7,0.8,0,0,OTHER+OTHER+OTHER,0.0007357975154650957,1359.0695523997558,0.9631117115765425,0.1901331077373069,0.2861302725987124,0.1012138734650772,2.826986684759562,0,,0
2024_01,3520240101010001,3-4-5,0.6285714285714286,1,0,BANTE+BANTE+RYO,0.0024373097356719057,410.28843620662144,0.9334664331179926,0.20891344225283884,0.3170928907071984,0.084348021942155,3.7593399750933987,0,,0
2024_01,3520240101010001,3-5-7,0.5714285714285714,0,0,BANTE+BANTE+OTHER,0.0021524217186715236,464.59297047848077,0.9566376499258551,0.1917466006176019,0.2508646139764214,0.0851548018991116,2.9459831786542927,0,,0
2024_01,3520240101010001,4-5-6,1.0,0,0,BANTE+OTHER+RYO,0.0005130447402628155,1949.147747792393,0.9932874785896693,0.17082230319346786,0.21242319508051025,0.145158717713493,1.4633857230661165,0,,0
2024_01,3520240101010001,5-6-7,0.9714285714285714,0,0,BANTE+OTHER+OTHER,0.000493396126869069,2026.7690513617813,0.9967845258924803,0.1686211967685985,0.1957816890701179,0.15093940258263322,1.2970880083014462,0,,0
2024_01,3520240101020001,1-2-4,0.11428571428571428,0,0,BANTE+OTHER+RYO,0.020839508128560322,47.985777487210015,0.8489277777500317,0.2621385069282028,0.35931175245188784,0.05084937078701664,7.066198595787362,0,,0
2024_01,3520240101020001,1-2-7,0.14285714285714285,0,0,OTHER+OTHER+RYO,0.016797056030285015,59.53424208367255,0.8224780470705368,0.279084740100732,0.38380649038545755,0.047529453092328075,8.075129533678757,0,,0
2024_01,3520240101020001,1-4-5,0.34285714285714286,1,0,BANTE+BANTE+RYO,0.005141779846680448,194.48518408379613,0.8136009877417926,0.2903194769572474,0.45062473962903105,0.04178046419051935,10.785536933581628,0,,0
2024_01,3520240101020001,1-5-7,0.37142857142857144,0,0,BANTE+OTHER+RYO,0.01009552622529862,99.05377666139643,0.7955373193517585,0.3015539843921556,0.4740241686970875,0.027318249775294855,17.35192307692308,0,,0
2024_01,3520240101020001,2-3-4,0.22857142857142856,0,0,BANTE+BANTE+OTHER,0.007301540816077069,136.95739367752714,0.9988688248256113,0.16732674082831875,0.17732292625187532,0.14591751002830214,1.215227193895248,0,,0
